Date,Close
1/4/2021,47.28
1/5/2021,48.85
1/6/2021,47.46
1/7/2021,48.84
1/8/2021,47.5
1/11/2021,48.37
1/12/2021,50.68
1/13/2021,49.78
1/14/2021,48.75
1/15/2021,47.88
1/19/2021,48.96
1/20/2021,48.94
1/21/2021,48.1
1/22/2021,47.81
1/25/2021,47.14
1/26/2021,46.9
1/27/2021,43.62
1/28/2021,46.22
1/29/2021,44.46
2/1/2021,45.51
2/2/2021,47.5
2/3/2021,49.41
2/4/2021,51.77
2/5/2021,53.12
2/8/2021,53.41
2/9/2021,53.64
2/10/2021,56.21
2/11/2021,57.07
2/12/2021,57.65
2/16/2021,58.46
2/17/2021,58.11
2/18/2021,57.07
2/19/2021,58.93
2/22/2021,56.82
2/23/2021,57.72
2/24/2021,59.13
2/25/2021,55.91
2/26/2021,55.7
3/1/2021,57.34
3/2/2021,57.06
3/3/2021,61.76
3/4/2021,61.87
3/5/2021,64.12
3/8/2021,64.31
3/9/2021,62.34
3/10/2021,61.31
3/11/2021,62.72
3/12/2021,66.37
3/15/2021,67.42
3/16/2021,64.69
3/17/2021,65.93
3/18/2021,66.08
3/19/2021,66.56
3/22/2021,64.16
3/23/2021,61.56
3/24/2021,60.97
3/25/2021,63.57
3/26/2021,64.51
3/29/2021,63.62
3/30/2021,63.05
3/31/2021,63.18
4/1/2021,64.64
4/5/2021,64.47
4/6/2021,64.24
4/7/2021,60.96
4/8/2021,62.01
4/9/2021,60.97
4/12/2021,59.85
4/13/2021,62.33
4/14/2021,62.8
4/15/2021,64.44
4/16/2021,63.4
4/19/2021,61.87
4/20/2021,60.8
4/21/2021,60.74
4/22/2021,61
4/23/2021,63.7
4/26/2021,63.06
4/27/2021,62.14
4/28/2021,63.4
4/29/2021,57.1
4/30/2021,55.66
5/3/2021,57.08
5/4/2021,56.19
5/5/2021,52.63
5/6/2021,49.8
5/7/2021,50.07
5/10/2021,49.16
5/11/2021,48.82
5/12/2021,46.89
5/13/2021,46.02
5/14/2021,49.65
5/17/2021,49.71
5/18/2021,51.51
5/19/2021,52.21
5/20/2021,51.96
5/21/2021,52.32
5/24/2021,53.31
5/25/2021,52.76
5/26/2021,54.92
5/27/2021,55.49
5/28/2021,57.09
6/1/2021,58.76
6/2/2021,58.46
6/3/2021,56.32
6/4/2021,57.4
6/7/2021,58.56
6/8/2021,56.74
6/9/2021,55.38
6/10/2021,55.66
6/11/2021,56.11
6/14/2021,58.41
6/15/2021,57.82
6/16/2021,56.97
6/17/2021,58.8
6/18/2021,58.48
6/21/2021,59.5
6/22/2021,59.06
6/23/2021,61.41
6/24/2021,61.78
6/25/2021,61.5
6/28/2021,58.73
6/29/2021,59.99
6/30/2021,60.48
7/1/2021,61.87
7/2/2021,62.79
7/6/2021,61.64
7/7/2021,58.75
7/8/2021,58.55
7/9/2021,60.06
7/12/2021,58.07
7/13/2021,57.07
7/14/2021,55.83
7/15/2021,54.73
7/16/2021,53.4
7/19/2021,51.72
7/20/2021,52.95
7/21/2021,55.77
7/22/2021,55.14
7/23/2021,54.9
7/26/2021,54.39
7/27/2021,53.32
7/28/2021,55.77
7/29/2021,56.74
7/30/2021,55.32
8/2/2021,56
8/3/2021,55.38
8/4/2021,49.53
8/5/2021,52.42
8/6/2021,52.44
8/9/2021,52.13
8/10/2021,53.85
8/11/2021,53.91
8/12/2021,53.82
8/13/2021,53.39
8/16/2021,50.83
8/17/2021,49.11
8/18/2021,49.58
8/19/2021,46.79
8/20/2021,45.89
8/23/2021,47.24
8/24/2021,47.67
8/25/2021,49.43
8/26/2021,48.6
8/27/2021,48.39
8/30/2021,47.13
8/31/2021,47.61
9/1/2021,48.37
9/2/2021,49.3
9/3/2021,48.21
9/7/2021,50.59
9/8/2021,49.81
9/9/2021,50.51
9/10/2021,50.01
9/13/2021,51.84
9/14/2021,50.53
9/15/2021,51.01
9/16/2021,52.39
9/17/2021,52.18
9/20/2021,51.12
9/21/2021,54.45
9/22/2021,54.69
9/23/2021,55.64
9/24/2021,55.86
9/27/2021,55.98
9/28/2021,54.18
9/29/2021,53.32
9/30/2021,53.59
10/1/2021,55.48
10/4/2021,53.68
10/5/2021,52.92
10/6/2021,54.16
10/7/2021,54.7
10/8/2021,54.89
10/11/2021,52.8
10/12/2021,52.55
10/13/2021,53.24
10/14/2021,50.51
10/15/2021,51.58
10/18/2021,50.47
10/19/2021,50.04
10/20/2021,49.41
10/21/2021,49.57
10/22/2021,48.32
10/25/2021,48.12
10/26/2021,47.54
10/27/2021,46.72
10/28/2021,46.92
10/29/2021,45.87
11/1/2021,46.4
11/2/2021,45.32
11/3/2021,49.03
11/4/2021,49.14
11/5/2021,53.55
11/8/2021,55.24
11/9/2021,56.26
11/10/2021,54.6
11/11/2021,53.18
11/12/2021,52.96
11/15/2021,51.66
11/16/2021,51.28
11/17/2021,49.71
11/18/2021,49.29
11/19/2021,47.51
11/22/2021,45.48
11/23/2021,45.67
11/24/2021,44.52
11/26/2021,42.4
11/29/2021,41.82
11/30/2021,40.61
12/1/2021,38.22
12/2/2021,41.15
12/3/2021,39.47
12/6/2021,41.95
12/7/2021,41.41
12/8/2021,42.21
12/9/2021,40.76
12/10/2021,39.51
12/13/2021,38.41
12/14/2021,38.98
12/15/2021,38.42
12/16/2021,37.46
12/17/2021,38.07
12/20/2021,38.62
12/21/2021,40.91
12/22/2021,42.46
12/23/2021,44.18
12/27/2021,44.03
12/28/2021,43.52
12/29/2021,43.24
12/30/2021,43.49
12/31/2021,42.73
