Date,Close
1/4/2021,51.14
1/5/2021,54.01
1/6/2021,52.48
1/7/2021,56.13
1/8/2021,53.28
1/11/2021,54.59
1/12/2021,58.54
1/13/2021,59.4
1/14/2021,56.91
1/15/2021,55.52
1/19/2021,56.3
1/20/2021,56.38
1/21/2021,55.79
1/22/2021,54.31
1/25/2021,54.29
1/26/2021,51.92
1/27/2021,48.11
1/28/2021,51.58
1/29/2021,50.93
2/1/2021,52.76
2/2/2021,56.46
2/3/2021,57.12
2/4/2021,57.85
2/5/2021,58.58
2/8/2021,59.29
2/9/2021,59.61
2/10/2021,63.18
2/11/2021,60.71
2/12/2021,60.63
2/16/2021,60.52
2/17/2021,60.81
2/18/2021,59
2/19/2021,58.39
2/22/2021,55.31
2/23/2021,56
2/24/2021,53.91
2/25/2021,51.45
2/26/2021,51.75
3/1/2021,54.4
3/2/2021,54.65
3/3/2021,56.11
3/4/2021,53.07
3/5/2021,55.54
3/8/2021,53.2
3/9/2021,55.25
3/10/2021,57.68
3/11/2021,58.95
3/12/2021,60.35
3/15/2021,60.19
3/16/2021,58.85
3/17/2021,56.36
3/18/2021,55.69
3/19/2021,57.08
3/22/2021,55.69
3/23/2021,53.49
3/24/2021,52.57
3/25/2021,53.89
3/26/2021,54.71
3/29/2021,53.35
3/30/2021,53.46
3/31/2021,54.51
4/1/2021,57.6
4/5/2021,57.4
4/6/2021,58.05
4/7/2021,56.89
4/8/2021,57.83
4/9/2021,57.68
4/12/2021,59.44
4/13/2021,60.64
4/14/2021,59.23
4/15/2021,60.74
4/16/2021,60.35
4/19/2021,57.85
4/20/2021,55.48
4/21/2021,55.77
4/22/2021,56.28
4/23/2021,57.93
4/26/2021,57.61
4/27/2021,57.16
4/28/2021,58.44
4/29/2021,54.93
4/30/2021,54.77
5/3/2021,54.85
5/4/2021,52.99
5/5/2021,51.18
5/6/2021,46.65
5/7/2021,47.03
5/10/2021,45.79
5/11/2021,46.21
5/12/2021,43.81
5/13/2021,44.48
5/14/2021,47.42
5/17/2021,47.51
5/18/2021,49.17
5/19/2021,49.47
5/20/2021,49.33
5/21/2021,48.82
5/24/2021,50.03
5/25/2021,50.46
5/26/2021,51.12
5/27/2021,50.71
5/28/2021,50.83
6/1/2021,50.98
6/2/2021,50.79
6/3/2021,48.7
6/4/2021,50.18
6/7/2021,50.76
6/8/2021,49.88
6/9/2021,49.14
6/10/2021,49.55
6/11/2021,50.01
6/14/2021,50.77
6/15/2021,49.3
6/16/2021,48.89
6/17/2021,49.7
6/18/2021,49.7
6/21/2021,48.12
6/22/2021,49.05
6/23/2021,50.51
6/24/2021,50.82
6/25/2021,51.73
6/28/2021,51.11
6/29/2021,50.76
6/30/2021,50.12
7/1/2021,50.59
7/2/2021,51.71
7/6/2021,50.8
7/7/2021,48.68
7/8/2021,47.55
7/9/2021,49.07
7/12/2021,48.41
7/13/2021,48.08
7/14/2021,47.15
7/15/2021,46.42
7/16/2021,46.19
7/19/2021,45.56
7/20/2021,46.32
7/21/2021,47.52
7/22/2021,47.57
7/23/2021,47.46
7/26/2021,46.81
7/27/2021,45.82
7/28/2021,46.14
7/29/2021,44.69
7/30/2021,43.46
8/2/2021,43.49
8/3/2021,42.79
8/4/2021,41.81
8/5/2021,43.07
8/6/2021,44.28
8/9/2021,43.25
8/10/2021,43.5
8/11/2021,43.08
8/12/2021,42.73
8/13/2021,42.22
8/16/2021,41.5
8/17/2021,41
8/18/2021,40.88
8/19/2021,39.86
8/20/2021,39.95
8/23/2021,41
8/24/2021,40.17
8/25/2021,41.55
8/26/2021,40.62
8/27/2021,40.69
8/30/2021,39.59
8/31/2021,39.14
9/1/2021,40.62
9/2/2021,41.4
9/3/2021,40.32
9/7/2021,40.95
9/8/2021,40.07
9/9/2021,40.35
9/10/2021,39.89
9/13/2021,40.07
9/14/2021,39.01
9/15/2021,38.48
9/16/2021,39.52
9/17/2021,39.75
9/20/2021,39.79
9/21/2021,44.36
9/22/2021,44.87
9/23/2021,45.48
9/24/2021,46.63
9/27/2021,47.25
9/28/2021,45.98
9/29/2021,44.52
9/30/2021,44.8
10/1/2021,47.05
10/4/2021,45.72
10/5/2021,45.61
10/6/2021,47.01
10/7/2021,47.91
10/8/2021,47.77
10/11/2021,46.29
10/12/2021,46.72
10/13/2021,46.41
10/14/2021,47.28
10/15/2021,48.36
10/18/2021,47.07
10/19/2021,47.05
10/20/2021,46
10/21/2021,46.47
10/22/2021,45.51
10/25/2021,45.72
10/26/2021,46.02
10/27/2021,44.73
10/28/2021,44.62
10/29/2021,43.82
11/1/2021,44.36
11/2/2021,42.89
11/3/2021,45.72
11/4/2021,45.27
11/5/2021,47.19
11/8/2021,45.89
11/9/2021,45.51
11/10/2021,43.38
11/11/2021,43.28
11/12/2021,45.12
11/15/2021,43.61
11/16/2021,45.76
11/17/2021,44.11
11/18/2021,45
11/19/2021,44.23
11/22/2021,42.6
11/23/2021,42.68
11/24/2021,42.08
11/26/2021,40.52
11/29/2021,39.7
11/30/2021,38
12/1/2021,36.02
12/2/2021,38.12
12/3/2021,35.85
12/6/2021,38.49
12/7/2021,38.08
12/8/2021,38.81
12/9/2021,37.54
12/10/2021,36.67
12/13/2021,35.73
12/14/2021,37.26
12/15/2021,37.83
12/16/2021,37.7
12/17/2021,39.68
12/20/2021,39.7
12/21/2021,41.97
12/22/2021,43.02
12/23/2021,43.91
12/27/2021,42.96
12/28/2021,42.54
12/29/2021,42.46
12/30/2021,42.66
12/31/2021,41.93
